Name; Browser; Renderer; GPU Process; cpuTime (%); cpuSampling (%); Sum dumpsys
16ms; 1.1; 36; 19; 78.87517724381365; 83.7917485265226; 1.11936
16ms; 1.1; 35; 19; 82.86200113536606; 82.63695450324977; 1.11935
16ms; 1.2; 36; 19; 85.50213632063526; 83.02945301542776; 1.21936
16ms; 1.1; 35; 19; 80.774407324588; 77.45149449396959; 1.11935
16ms; 1.1; 36; 20; 83.74868088245745; 80.93047034764827; 1.12036
16ms; 1.1; 35; 19; 89.37873771611777; 76.09663064208519; 1.11935
16ms; 0.8; 34; 12; 82.74939708608356; 78.48780487804878; 0.81234
16ms; 1; 36; 16; 78.76669096366685; 81.50023009664059; 11636
16ms; 1; 36; 17; 82.04472283581549; 76.3992537313433; 11736
16ms; 1; 36; 18; 86.27033518056002; 74.24731182795699; 11836
16ms; 1; 35; 17; 89.19505466318527; 77.33463035019456; 11735
16ms; 0.9; 34; 15; 84.31966978316609; 79.42655935613682; 0.91534
16ms; 1; 36; 17; 85.7129044380482; 82.20140515222482; 11736
16ms; 0.9; 32; 17; 84.20573983069417; 78.82903981264637; 0.91732
16ms; 1; 36; 19; 86.53180722947705; 78.74938935026869; 11936
16ms; 1.1; 36; 19; 79.60468433399114; 79.21511627906976; 1.11936
16ms; 1; 36; 19; 83.65631765583423; 80.42616451932606; 11936
16ms; 1; 36; 20; 81.6736270719646; 81.50134048257372; 12036
16ms; 1.1; 36; 20; 85.12804299737219; 78.18088911599386; 1.12036
16ms; 1.1; 36; 20; 80.7529344910445; 79.17525773195877; 1.12036
16ms; 1.1; 36; 20; 79.94676708334445; 81.42458100558659; 1.12036
16ms; 1.1; 35; 20; 80.74561170089453; 81.94980694980694; 1.12035
16ms; 1.1; 36; 20; 85.93160311429673; 77.84145176695321; 1.12036
16ms; 1.2; 36; 20; 85.9954372510204; 82.69410664172125; 1.22036
16ms; 1; 36; 20; 85.31129309108843; 78.75593041644703; 12036
16ms; 1.2; 34; 20; 87.86692261514982; 76.98032961190856; 1.22034
16ms; 1.1; 36; 20; 83.32120341065254; 79.57110609480813; 1.12036
16ms; 1; 36; 20; 80.38610678487305; 79.34879571810882; 12036
16ms; 1.1; 37; 20; 80.74928008910696; 77.9874213836478; 1.12037
16ms; 1.1; 36; 20; 77.78474634857042; 75.24752475247524; 1.12036
16ms; 1.2; 36; 20; 89.71494440992814; 56.225831399845326; 1.22036
16ms; 1.1; 36; 20; 85.06698383403656; 75.02278942570648; 1.12036
16ms; 1.1; 36; 20; 87.30212370725057; 79.39273270283724; 1.12036
16ms; 1; 35; 19; 89.1919430476974; 75.98636142230882; 11935
16ms; 1.2; 36; 19; 82.46797730604938; 72.6836293807009; 1.21936
16ms; 1.1; 36; 20; 82.72921804848569; 77.4770642201835; 1.12036
16ms; 1.1; 36; 20; 79.24275772697905; 76.94483734087694; 1.12036
16ms; 1; 36; 20; 82.15474539750282; 76.24336069531627; 12036
16ms; 1; 34; 18; 81.05759329898555; 77.17144156434743; 11834
16ms; 1.1; 36; 19; 91.15740192508336; 64.21818181818182; 1.11936
16ms; 1.1; 36; 19; 86.54070079970596; 75.10791366906476; 1.11936
16ms; 1; 36; 19; 84.23460196099988; 59.84095427435388; 11936
16ms; 1.1; 36; 20; 86.89668723966473; 62.807017543859644; 1.12036
50ms; 1; 23; 15; 37.25641244988567; 20.046783625730992; 11523
50ms; 1; 23; 15; 39.955627447958406; 22.166313559322028; 11523
50ms; 0.9; 20; 15; 42.01130276309335; 24.69680264608599; 0.91520
50ms; 0.9; 24; 14; 40.42645965288713; 22.396100564391997; 0.91424
50ms; 1; 22; 15; 37.26193124308904; 18.696741854636592; 11522
50ms; 1; 23; 15; 41.94947361640898; 21.96395925829199; 11523
50ms; 1; 24; 15; 42.59646091364965; 22.22823147647378; 11524
50ms; 0.9; 23; 14; 61.089992590095996; 40.04771642808452; 0.91423
50ms; 0.8; 19; 13; 49.02679001562677; 30.410272471030375; 0.81319
50ms; 0.8; 16; 13; 55.906939495056186; 31.42759328996919; 0.81316
50ms; 0.6; 15; 13; 50.21864719840933; 26.492906631474757; 0.61315
50ms; 0.7; 13; 11; 43.811577857627206; 27.75007333528894; 0.71113
50ms; 0.8; 21; 14; 51.51128831511833; 29.045133558489404; 0.81421
50ms; 1; 18; 13; 41.06249925147945; 22.103291410222106; 11318
50ms; 0.7; 15; 12; 45.02706367101126; 29.260450160771708; 0.71215
50ms; 0.5; 14; 12; 38.61697354668727; 22.54383523517951; 0.51214
50ms; 0.7; 15; 12; 53.14012974580474; 28.942428035043804; 0.71215
50ms; 0.6; 15; 13; 46.946554973426736; 29.943836831214902; 0.61315
50ms; 0.6; 13; 12; 54.40769152761574; 34.38303341902313; 0.61213
50ms; 0.7; 14; 13; 48.65025975906284; 29.389788293897883; 0.71314
50ms; 0.6; 15; 13; 47.60873518816264; 25.248893805309734; 0.61315
50ms; 0.8; 17; 13; 42.36481624773782; 23.460169723514916; 0.81317
50ms; 0.7; 14; 13; 38.5384791886753; 22.857142857142858; 0.71314
50ms; 0.6; 16; 13; 45.29219468792956; 26.81369704004643; 0.61316
50ms; 0.6; 16; 13; 38.64259111872897; 23.366701791359333; 0.61316
