###################################### Measure 1 at 20314722 ######################################
User 50%, System 50%, IOW 0%, IRQ 0%
User 3 + Nice 0 + Sys 3 + Idle 0 + IOW 0 + IRQ 0 + SIRQ 0 = 6

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
  273 radio    20   0   0% S     3 2153752K  18524K  fg /system/bin/genybaseband
  277 root     20   0   0% S     1   3400K    852K  fg /sbin/healthd
  534 system   20   0   0% S    88 1339684K 188860K  fg system_server
  561 root     20   0   0% S     1   5824K   2688K  fg logcat
  564 root     20   0   0% S     1   4884K   1660K  fg /system/bin/sh
  568 system   12  -8   0% S    13  87344K   6080K  fg /system/bin/surfaceflinger
  649 wifi     20   0   0% S     1  10032K   6216K  fg /system/bin/wpa_supplicant
  651 u0_a48   20   0   0% S    14 895400K  97352K  bg com.android.inputmethod.latin
  656 media_rw 20   0   0% S     4   8992K   3292K  fg /system/bin/sdcard
  657 u0_a23   20   0   0% S    28 1025084K 208692K  fg com.android.systemui
  795 u0_a66   20   0   0% S    48 1004832K 196568K  fg com.google.android.gms.persistent
  814 radio    20   0   0% S    27 905188K 112100K  fg com.android.phone
 1143 u0_a72   20   0   0% S    11 870372K  76784K  fg com.google.android.ext.services
 1164 u0_a66   20   0   0% S    52 1136696K 194616K  fg com.google.android.gms
 1183 u0_a66   20   0   0% S    17 881864K  86340K  bg com.google.process.gapps
 1210 system   20   0   0% S    12 872180K  72480K  fg com.genymotion.systempatcher
 1215 system   20   0   0% S    11 871276K  74788K  fg com.genymotion.genyd
 1256 u0_a14   20   0   0% S    15 901384K 114864K  bg com.android.launcher3
 1542 u0_a1    20   0   0% S    14 880200K  94352K  bg android.process.acore
18789 u0_a64   20   0   0% S    49 967428K 143996K  bg com.android.vending
18984 u0_a45   20   0   0% S    10 1204656K  77392K  bg com.android.gallery3d
19031 u0_a16   20   0   0% S    10 868484K  71564K  bg com.android.musicfx
19060 system   20   0   0% S    10 869508K  73620K  bg com.genymotion.superuser
19500 u0_a69   20   0   0% S    13 873428K  77736K  bg com.google.android.partnersetup
19541 u0_a54   20   0   0% S    10 868288K  69376K  bg com.svox.pico
19579 u0_a78   20   0   0% S    13 902104K  96844K  fg org.chromium.webapk.a44c9cab055c42d1b
19605 u0_a77   16  -4   0% S    34 1080612K 207656K  fg com.android.chrome
19644 u0_i16   20   0   0% S    22 1074376K 170636K  fg com.android.chrome:sandboxed_process0
19671 u0_a77   20   0   0% S    18 980416K 128336K  fg com.android.chrome:privileged_process0
20764 u0_a66   20   0   0% S    16 946812K 127704K  bg com.google.android.gms.unstable
20831 root     20   0   0% S     1      0K      0K  fg kworker/0:0
21707 root     20   0   0% S     1      0K      0K  fg kworker/0:1
22476 root     20   0   0% S     1      0K      0K  fg kworker/u2:1
23874 root     20   0   0% S     1      0K      0K  fg kworker/u2:2
24112 root     20   0   0% S    10 951936K  78400K  fg com.android.commands.monkey
   73 root      0 -20   0% S     1      0K      0K  fg binder
    2 root     20   0   0% S     1      0K      0K  fg kthreadd

###################################### Measure 2 at 20375619 ######################################
User 25%, System 50%, IOW 0%, IRQ 25%
User 1 + Nice 0 + Sys 2 + Idle 0 + IOW 0 + IRQ 0 + SIRQ 1 = 4

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
  250 root     20   0  25% S     7  13864K   2568K  fg /system/bin/batteryd
  247 root     20   0  25% S    24 148536K  36464K  fg /system/bin/local_opengl
24273 root     20   0  25% R     1   6268K   2272K  fg top
    5 root      0 -20   0% S     1      0K      0K  fg kworker/0:0H
    7 root     20   0   0% S     1      0K      0K  fg rcu_preempt
    8 root     20   0   0% S     1      0K      0K  fg rcu_sched
    9 root     20   0   0% S     1      0K      0K  fg rcu_bh
   10 root     RT   0   0% S     1      0K      0K unk migration/0
   11 root      0 -20   0% S     1      0K      0K  fg perf
   12 root      0 -20   0% S     1      0K      0K  fg writeback
   13 root     25   5   0% S     1      0K      0K  fg ksmd
   14 root      0 -20   0% S     1      0K      0K  fg crypto
   16 root      0 -20   0% S     1      0K      0K  fg kintegrityd
   17 root      0 -20   0% S     1      0K      0K  fg bioset
   18 root      0 -20   0% S     1      0K      0K  fg kblockd
   19 root      0 -20   0% S     1      0K      0K  fg ata_sff
   20 root     20   0   0% S     1      0K      0K  fg kswapd0
   21 root      0 -20   0% S     1      0K      0K  fg vmstat
   22 root     20   0   0% S     1      0K      0K  fg fsnotify_mark
   40 root      0 -20   0% S     1      0K      0K  fg kthrotld
   41 root      0 -20   0% S     1      0K      0K  fg acpi_thermal_pm
   43 root      0 -20   0% S     1      0K      0K  fg bioset
   44 root      0 -20   0% S     1      0K      0K  fg bioset
   45 root      0 -20   0% S     1      0K      0K  fg bioset
   46 root      0 -20   0% S     1      0K      0K  fg bioset
   47 root      0 -20   0% S     1      0K      0K  fg bioset
   48 root      0 -20   0% S     1      0K      0K  fg bioset
   49 root      0 -20   0% S     1      0K      0K  fg bioset
   50 root      0 -20   0% S     1      0K      0K  fg bioset
   51 root      0 -20   0% S     1      0K      0K  fg bioset
   52 root      0 -20   0% S     1      0K      0K  fg bioset
   53 root      0 -20   0% S     1      0K      0K  fg bioset
   54 root      0 -20   0% S     1      0K      0K  fg bioset
   55 root      0 -20   0% S     1      0K      0K  fg bioset
   56 root      0 -20   0% S     1      0K      0K  fg bioset
   57 root      0 -20   0% S     1      0K      0K  fg bioset
   58 root      0 -20   0% S     1      0K      0K  fg bioset
   59 root      0 -20   0% S     1      0K      0K  fg bioset
   60 root      0 -20   0% S     1      0K      0K  fg bioset
   61 root      0 -20   0% S     1      0K      0K  fg bioset
   62 root      0 -20   0% S     1      0K      0K  fg bioset
   63 root      0 -20   0% S     1      0K      0K  fg bioset
   64 root      0 -20   0% S     1      0K      0K  fg bioset
   65 root      0 -20   0% S     1      0K      0K  fg bioset
   66 root      0 -20   0% S     1      0K      0K  fg bioset
   67 root     20   0   0% S     1      0K      0K  fg scsi_eh_0
   68 root      0 -20   0% S     1      0K      0K  fg scsi_tmf_0
