cpuTime, selfTime, selfCpu, recording duration, recordCpu, nb samples, sampling duration, samplingCpu, FPS, JS used
2076.1949999649078, 2398.2249999586493, 86.57215232101684, 5022.058000000194, 41.34151775954853, 3611, 4768.61758088693, 45.028961516225536, 51.65889630766964, 3.130235673043478
2025.3459999915212, 2320.720000013709, 87.27231204020981, 5018.940999999642, 40.354050784650894, 3648, 4858.261760350317, 43.24607395808604, 51.26568020059139, 3.2398328586030662
1938.3620000332594, 2274.823000041768, 85.20935474969565, 5018.291999999434, 38.62593089508299, 3656, 4805.932532969862, 41.78778752086639, 49.32044051572986, 3.370715081174439
2029.9329999890178, 2350.90599999018, 86.34683819759263, 5025.734999999404, 40.390768713218236, 3692, 4826.662329992279, 43.46630744871229, 51.58382008225764, 3.4520343626943006
2002.9429999701679, 2307.92599998042, 86.78540819710686, 5018.899000000209, 39.908015681727896, 3645, 4781.921912733465, 42.68338058350378, 51.73693889640764, 3.4636875547945207
1994.9109999909997, 2339.6740000043064, 85.26448556454139, 5017.3149999994785, 39.7605292869036, 3595, 4741.105805508792, 43.319437895537014, 50.82132214768538, 3.5733281172413793
2161.638999979943, 2304.480999963358, 93.8015544504083, 5019.855000000447, 43.061781664604865, 3692, 4814.0399111341685, 43.44176408850822, 52.195479871441115, 3.6480100958904114
1953.766999989748, 2280.2600000258535, 85.68176435878348, 5019.8889999985695, 38.92052194760292, 3589, 4811.931744426489, 42.815617644718, 49.81818363703866, 3.684364547008547
1996.0600000042468, 2278.2970000039786, 87.61193119249866, 5015.529999999329, 39.79758868962031, 3634, 4824.969729701057, 42.92718693559354, 52.76435562929213, 3.8023870843373495
2028.6549999956042, 2338.787999995053, 86.73958477638398, 5021.754999998957, 40.397331211817885, 3691, 4870.57458130084, 43.802702512578136, 50.42342352498137, 3.6936379005145796
