Number of frames; Number of GPUTask; nb of RunTask
39; 100; 759
33; 85; 646
42; 108; 814
37; 95; 719
40; 103; 786
41; 105; 798
42; 107; 814
41; 105; 789
42; 107; 824
37; 95; 716
41; 105; 789
38; 99; 740
40; 103; 771
40; 102; 759
45; 113; 858
44; 113; 854
42; 107; 808
35; 90; 679
38; 95; 708
43; 110; 829
41; 105; 791
44; 112; 844
43; 110; 828
38; 97; 740
39; 100; 754
47; 120; 913
44; 113; 845
43; 110; 833
46; 117; 870
41; 105; 790
40; 102; 776
35; 90; 694
43; 110; 822
44; 112; 850
43; 110; 833
44; 111; 841
42; 107; 813
41; 105; 796
37; 94; 711
38; 98; 740
42; 109; 818
17; 45; 343
16; 45; 335
14; 39; 305
16; 43; 337
16; 44; 332
18; 48; 363
14; 41; 307
15; 41; 313
16; 44; 333
17; 45; 350
15; 42; 322
17; 46; 356
16; 44; 346
18; 46; 370
13; 39; 303
16; 45; 348
18; 49; 375
18; 49; 374
16; 41; 326
17; 46; 360
18; 48; 368
18; 45; 351
15; 42; 334
15; 42; 329
16; 44; 341
17; 45; 350
17; 47; 365
14; 40; 301
17; 47; 359
16; 43; 337
17; 46; 335
17; 47; 360
15; 43; 319
16; 43; 333
16; 44; 332
15; 42; 321
14; 41; 314
16; 43; 337
18; 48; 369
15; 43; 324
18; 47; 352
15; 42; 323
16; 44; 334
13; 37; 286
17; 46; 352
15; 41; 312
18; 48; 370
18; 46; 352
13; 36; 277
14; 37; 289
17; 46; 350
16; 43; 332
14; 40; 306
19; 50; 382
18; 49; 369
14; 39; 299
17; 44; 347
17; 45; 344
17; 45; 347
15; 44; 343
14; 41; 320
16; 44; 353
14; 40; 311
15; 42; 329
17; 45; 345
13; 41; 284
17; 45; 350
18; 48; 368
12; 37; 289
16; 44; 342
15; 43; 331
17; 47; 363
15; 42; 331
16; 43; 343
15; 40; 312
19; 49; 374
14; 37; 292
16; 46; 348
16; 43; 328
16; 44; 330
15; 41; 316
17; 46; 343
17; 45; 344
13; 38; 288
17; 49; 356
14; 39; 307
17; 46; 358
17; 45; 345
15; 42; 326
14; 39; 301
15; 42; 324
19; 50; 384
12; 35; 270
17; 45; 346
16; 45; 331
17; 45; 346
16; 44; 333
16; 44; 329
15; 45; 329
20; 50; 390
