User 19%, System 36%, IOW 0%, IRQ 0%
User 15 + Nice 0 + Sys 28 + Idle 33 + IOW 0 + IRQ 0 + SIRQ 0 = 76

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
 4018 media_rw 20   0   0% S     1   8736K   1060K  fg /system/bin/sdcard
 4019 wifi     20   0   0% S     1  15068K   3052K  fg /system/bin/wpa_supplicant
 4022 u0_a84   20   0   0% S    52 3382860K 110808K  fg com.android.systemui
 4033 root     20   0   0% S     1      0K      0K  fg pkgld
 4035 root     20   0   0% S     1      0K      0K  fg pkgld
 4036 root     20   0   0% S     1      0K      0K  fg pkgld
 4258 system   20   0   0% S    12 1805432K  28844K  fg com.sec.epdg
 4382 root      0 -20   0% S     1      0K      0K  fg kbase_event
 4402 system   20   0   0% S    13 1828540K  30216K  fg com.sec.vsimservice
 4416 system   20   0   0% S     9 1800224K  27456K  fg com.sec.sve
 4428 system   20   0   0% S    27 1876996K  36648K  fg com.sec.imsservice
 4441 radio    20   0   0% S    32 1887588K  41456K  fg com.android.phone
 4539 root     RT   0   0% S     1      0K      0K  fg irq/123-1146000
 4646 u0_a24   20   0   0% S     9 1796568K  30004K  fg com.google.android.ext.services
 4651 system   20   0   0% S     1   7904K   1156K  fg /system/bin/iod
 4666 root     20   0   0% S     5 2249788K  38456K  fg zygote64
 4668 root     20   0   0% S     5 1668228K  15264K  fg zygote
 4746 u0_a23   20   0   0% S    18 1813508K  34848K  bg com.google.process.gapps
 4763 u0_a95   20   0   0% S    16 2441336K  35376K  fg com.google.android.googlequicksearchbox:interactor
 4778 u0_a41   20   0   0% S     9 1797592K  25176K  fg com.sec.vsim.ericssonnsds.webapp
 4793 nfc      20   0   0% S    12 1808220K  39740K  fg com.android.nfc
 4807 u0_a9    20   0   0% S    12 1803464K  34928K  fg com.samsung.android.providers.context
 4821 system   20   0   0% S    13 1809108K  34408K  fg com.samsung.tmowfc.wfccontroller
 4834 u0_a0    20   0   0% S     9 1796248K  24856K  fg system
 4871 u0_a95   20   0   0% S    56 2533020K  92668K  bg com.google.android.googlequicksearchbox:search
 4908 u0_a87   20   0   0% S    46 3371012K 151768K  bg com.sec.android.app.launcher
 4949 u0_a172  20   0   0% S     9 1797548K  29384K  fg org.simalliance.openmobileapi.service:remote
 5076 u0_a121  16  -4   0% S    68 1993336K  53724K  bg flipboard.boxer.app
 5091 u0_a23   20   0   0% S    65 2132024K 111536K  fg com.google.android.gms
