User 8%, System 15%, IOW 0%, IRQ 0%
User 8 + Nice 0 + Sys 14 + Idle 70 + IOW 0 + IRQ 0 + SIRQ 0 = 92

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
 2648 u0_a184  20   0   0% S    10 1808364K  43728K  bg com.sec.android.daemonapp
 2665 u0_a163  20   0   0% S    10 1824796K  32456K  bg com.samsung.android.calendar
 2917 root     20   0   0% S     1   6204K    316K  fg /sbin/watchdogd
 2923 root      0 -20   0% S     1      0K      0K  fg kdmflush
 2925 root      0 -20   0% S     1      0K      0K  fg bioset
 2926 root      0 -20   0% S     1      0K      0K  fg kverityd
 2927 root      0 -20   0% S     1      0K      0K  fg bioset
 2931 root      0 -20   0% S     1      0K      0K  fg ext4-dio-unwrit
 2938 root     20   0   0% S     1      0K      0K  fg jbd2/sda3-8
 2939 root      0 -20   0% S     1      0K      0K  fg ext4-dio-unwrit
 2945 root     20   0   0% S     1      0K      0K  fg jbd2/sda16-8
 2947 root      0 -20   0% S     1      0K      0K  fg ext4-dio-unwrit
 2952 root     20   0   0% S     1      0K      0K  fg jbd2/sda17-8
 2953 root      0 -20   0% S     1      0K      0K  fg ext4-dio-unwrit
 2955 root     20   0   0% S     1      0K      0K  fg jbd2/sda13-8
 2956 root      0 -20   0% S     1      0K      0K  fg ext4-dio-unwrit
 2958 root     20   0   0% S     1      0K      0K  fg jbd2/sda14-8
 2959 root      0 -20   0% S     1      0K      0K  fg ext4-dio-unwrit
 3004 spass    20   0   0% S    10 1803864K  28248K  bg com.samsung.android.authfw
 3015 root      0 -20   0% S     1      0K      0K  fg pcie_wq
 3028 root     20   0   0% S     1      0K      0K  fg dhd_watchdog_th
 3033 root     20   0   0% S     1   5476K    872K  fg /system/bin/debuggerd
 3034 root     20   0   0% S     1  10332K   1460K  fg /system/bin/debuggerd64
 3035 system   20   0   0% S    12  24724K   1160K  fg /system/bin/mcDriverDaemon
 3036 root     20   0   0% S     8  33320K   2288K  fg /system/bin/vold
 3037 root     20   0   0% S     1      0K      0K  fg mc_log
 3041 audit    20   0   0% S     1   8180K   1072K  fg /system/bin/auditd
 3043 root     20   0   0% S     1      0K      0K  fg kauditd
 3045 root     20   0   0% S     1  10076K      4K  fg debuggerd64:signaller
 3047 root     20   0   0% S     1   5220K      8K  fg debuggerd:signaller
 3113 root     20   0   0% S     1   6372K    496K  fg /sbin/healthd
 3117 root     -2   0   0% S     1   8936K   1444K  fg /system/bin/lmkd
 3118 system   20   0   0% S     1   9452K   1872K  fg /system/bin/servicemanager
 3119 system   12  -8   0% S    34 1171420K  30856K  fg /system/bin/surfaceflinger
 3121 system   20   0   0% S     1   3520K    448K  fg /system/bin/tsdaemon
 3122 system   20   0   0% S     1  12240K   1584K  fg /system/bin/secure_storage_daemon
 3123 system   20   0   0% S     6  11796K    620K  fg /system/bin/ss_conn_daemon
 3124 system   20   0   0% S     1  12236K   1392K  fg /system/bin/edmaudit
 3125 system   20   0   0% S     1   5024K    676K  fg /system/bin/ss_kbservice_daemon
 3126 drm      20   0   0% S     3  28448K   1636K  fg /system/bin/drmserver
 3129 jack      1 -19   0% S     2   8052K    796K  fg /system/bin/apaservice
 3130 jack      1 -19   0% S     2  13620K   1104K  fg /system/bin/jackservice
 3132 system   20   0   0% S     3  16588K   2176K  fg /system/bin/sensorhubservice
 3134 system   20   0   0% S     2  30252K   2024K  fg /system/bin/bintvoutservice
 3135 system   20   0   0% S     1   5104K    232K  fg /system/bin/argosd
 3136 radio    20   0   0% S     1   7080K    248K  fg /sbin/cbd
 3137 system   20   0   0% S     6  16944K    848K  fg /system/bin/diagexe
 3138 system   20   0   0% S     7  54516K   2244K  fg /system/bin/imsd
 3139 gps      19  -1   0% S     1  15224K   2040K  fg /system/bin/lhd
 3140 gps      19  -1   0% S     5  41576K   2196K  fg /system/bin/gpsd
 3141 root     20   0   0% S     5 2249788K  37752K  fg zygote64
 3142 root     20   0   0% S     5 1668740K  14108K  fg zygote
 3144 system   20   0   0% S     2  14912K   1760K  fg /system/bin/sdp_cryptod
 3145 audioser 20   0   0% S    12  51456K   2532K  fg /system/bin/audioserver
 3146 camerase 20   0   0% S     3 119776K   2472K  fg /system/bin/cameraserver
 3147 system   20   0   0% S     6  13140K    864K  fg /system/bin/ddexe
 3154 system   20   0   0% S     2  14592K   1672K  fg /system/bin/connfwexe
 3155 radio    20   0   0% S    11  43244K   4080K  fg /system/bin/rild
 3156 system   20   0   0% S     4  16652K   1800K  fg /system/bin/smdexe
 3157 root     20   0   0% S     1  20468K   2212K  fg /system/bin/installd
 3158 keystore 20   0   0% S     1  13828K   2204K  fg /system/bin/keystore
 3159 mediacod 20   0   0% S     3  22712K   1204K  fg media.codec
 3160 media    20   0   0% S     2  56180K   2108K  fg /system/bin/mediadrmserver
 3161 mediaex  20   0   0% S     3  76088K   2256K  fg media.extractor
 3162 media    20   0   0% S     7 138256K   2456K  fg /system/bin/mediaserver
 3163 root     20   0   0% S    16  34844K   2800K  fg /system/bin/netd
 3168 system   20   0   0% S     2  20248K   1844K  fg /system/bin/fingerprintd
 3171 system   20   0   0% S     1  12560K   1796K  fg /system/bin/gatekeeperd
